排名,公司简称,公司全称,城市,行业,行业排名,轮次,最近融资,累计融资额,投资方,简介
370,贝拉比,深圳前海小智萌品科技有限公司,1,1,32,Pre-A轮,2018,25000000,朗科投资，朗科科技，红秀资本，广东韦博科技有限公司，韦博科技,深圳前海小智萌品科技有限公司 (英文简称：ZOOME) 核心团队组建于2013年11月，公司正式成立于2015年，注册资本1000万，是一家致力于母婴产品研发及设计的科技有限公司。ZOOME集金融，销售，研发，设计等各行业的顶尖人才于一体，专注于母婴产品研发，追求简约大方的产品设计，人性自在的智能交互及浓厚的家庭人文关怀。为母婴家庭提供科学辅助，用人文科技诠释母婴生活，帮助母婴家庭更好的体验生活乐趣。
375,中正信息,深圳中正信息科技有限公司,1,1,33,B轮,2019,0,北极光创投，金道产业,深圳中正信息科技有限公司成立于2015年，注册资金1200万元，公司团队成员主要来自华为、腾讯、运营商等企业，公司创始人具备10年以上的智慧园区经验，在业界享誉盛名。 公司致力于助力传统地产行业的转型升级，依托3、物联网、云计算等技术，自主设计研发“楼掌门”系列产品，为产业园区、社区、城市综合体等多种地产业态提供生态化整体解决方案。 公司累计服务面积超2000万平米，服务用户超过500万，业务范围覆盖深圳、北京、成都、天津等国内主要城市。 公司已被认证为国家高新技术企业、深圳高新技术企业，拥有数十项知识产权、技术专利和资质证书，并加入多个国内知名行业协会。 我们拥有什么资源？ 1. 顶级VC数千万投资 2. 丰富的行业资源和渠道 3. 自有数十栋超甲级写字楼 4. 怀“财”不遇的老板 你在这里能收获什么？ 1.共同参与智慧楼宇的变革，跟上新风口。错过了滴滴和ofo，还有中正带你飞。 2.在宽广的发展空间里获得最快速的进阶。 3.拥有一流的办公空间和志同道合的小伙伴，快来携手这个时代最有梦想的人，一起打怪升级。 4.公司提供免费学习机会，让你快速向大咖看齐。为国家高新技术企业、深圳高新技术企业 提供整体性的数字化解决方案和持续深度运营服务。
380,一小时,广州一小时科技有限公司,2,1,34,A轮,2018,30000000,广发信德,一小时科技是一家手机维修服务连锁机构，以手机维修+配件形式为主，通过开发四吗系统（修吗、换吗、买吗、卖吗），利用官网、微信公众号、APP等渠道进行线上咨询和服务预约，同时提供换屏、换电池、更换芯片等上门维修服务，以及手机回收、以旧换新等服务。
391,蜂巢积木,深圳天行创新科技有限公司,1,1,35,天使轮,2018,11000000,IDH创投（创东方天使），水木清华校友基金，光大集团，广东光大集团，深圳控股，创大资本，IDH创展谷,天行创新是一家少儿实物编程教育服务提供商，依据自主研发的一进三出的蜂巢电子积木系统, 无需电脑编程，致力于为学员用户提供编程教育服务，刺激儿童对艺术探索、动手能力和编程思维的同步培养，同时旗下研发了5-8岁的智能教具、8-12岁的图形化编程平台和全球化的教师教案内容分享线上平台。
407,华强聚丰,深圳华强聚丰电子科技有限公司,1,1,36,B轮,2016,147600000,招商银行，启赋资本，盛世景，盛世景投资，同创伟业，创业接力天使，上海创业接力泰礼创业投资中心，鸿砚投资,华强聚丰是一个全电子产业链服务平台，旗下涵盖百万级注册用户工程师互动交流平台——电子发烧友，用互联网模式颠覆传统线路板产业的PCB业务——华强PCB，还有元器件芯片的在线采购平台——华强芯城。三大主营业务打通了电子产业链上下游，为终端用户搭建了一个无缝沟通的一站式互动平台。
416,翼卡车联网,广东翼卡车联网服务有限公司,5,1,37,A轮,2017,50000000,珞珈天使投资，好帮手科技，珞珈创新天使基金，知卓资本，知卓创新资本，震达投资,翼卡车联网是一家车联网技术服务商，提供高档车导航的一键通、道路救援、远程防盗、实时路况查询等功能，隶属于广东翼卡车联网服务有限公司。
435,导远科技,深圳导远科技有限公司,1,1,38,A轮,2019,10000000,鹏德创投，南通衡麓，合创资本，河北沿海产业投资基金，海宁海睿投资，时代伯乐，浙商创投，励石创投，力合科创创业投资,导远科技是一家惯性及光电传感产品研发商，基于此核心器件，还为用户提供多种无人机平台及解决方案，产品包括WS-600系列姿态仪、IMU610无线收发套件等，广泛应用于应用于航空、航天、海洋、工业等领域。
444,福云明,深圳市福云明网络科技限公司,1,1,39,C轮,2018,33000000,嘉富诚，长石资本，歌石投资，福兴达科技实业(深圳)有限公司，亚忆电子，远致投资,【关于Foream】 1. 公司介绍： 诞生于全球创新的中心-深圳，Foream(风云客)将最具创意智能可穿戴摄像技术与互联网深度整合, 让生活的体验从“心”开始，让生活的记录无处不在。 Foream旗下拥有智能可穿戴相机品牌“风云客” (中国)以及国际顶级运动相机品牌 Drift (英国)。 Foream旗下同时还拥有Foream 时尚生活的视频分享平台 Foream Connect。 2. 产品介绍： 1) 运动线 Ghost S（幻影S），全球首款通过NASA暴力测试的运动相机，并搭载在无人航天飞船升空拍摄。 Stealth 2（风影2） 2) 科技线 Sharp Eye（SE,鹰眼），for商用线，航拍专用4k相机。 foream作为国内顶尖4k拍摄技术方案商，为高德红外、亿航顶配无人机提供视频拍摄定制化产品。 3) 时尚线 X1（星影X1），国内首款最佳第一视角拍摄相机 Compass（饼干），国内首款lifelogging相机 3. 大事记 2012年，Ghost S荣获德国iF设计大奖。 2013年，Ghost S荣获德国红点设计大奖。 2014年12月，Foream「风云客」入选《Fast Company》中国创新公司五十强。 2015年11月，X1荣获亚洲最具影响力设计大奖铜奖。 2015年12月，董事长黎诚勤入选《Fast Company》中国商业最具创意人物100。 2016年3月，compass荣获年度iF设计大奖 公司官网：http://www.foream.com/ 下载APP：Foream Connect 微信公众号：Foream（Foream123）
455,Goodscan,深圳市异方科技有限公司,1,1,40,Pre-A轮,2019,30000000,仁智资本，奥比中光,Goodscan是一家货物体积智能测量设备开发商，通过3D摄像头和机器视觉算法精准测量出快件体积，可以达到毫米级的识别精度，实现一键获取扫码、量方、称重、计算，用一步操作替代原本的四步流程，在1秒的时间里解决熟练快递工人30秒的工作量。提供Goodscan 100、Goodscan 200、Goodscan 300三个系列产品。
468,趣动智能,深圳趣动智能科技有限公司,1,1,41,A轮,2018,3000000,骑迹生活商贸，济达投资，新毅创新资本，壹天投资,http://www.teccyc.com
